,code,age group,sex,Page10_emoji,Page10_text,Page11_emoji,Page11_text,Page12_emoji,Page12_text,Page13_emoji,Page13_text,Page14_emoji,Page14_text,Page15_emoji,Page15_text,Page16_emoji,Page16_text,Page17_emoji,Page17_text,Page18_emoji,Page18_text,Page19_emoji,Page19_text,Page1_emoji,Page1_text,Page20_emoji,Page20_text,Page21_emoji,Page21_text,Page22_emoji,Page22_text,Page23_emoji,Page23_text,Page24_emoji,Page24_text,Page2_emoji,Page2_text,Page3_emoji,Page3_text,Page4_emoji,Page4_text,Page5_emoji,Page5_text,Page6_emoji,Page6_text,Page7_emoji,Page7_text,Page8_emoji,Page8_text,Page9_emoji,Page9_text,Duration,platform,Duration (seconds)
0,hcpibiaokgt7wq5y,201.0,102.0,6.0,,,5.0,5.0,,7.0,,1.0,,,6.0,4.0,,6.0,,6.0,,,3.0,7.0,,,2.0,7.0,,6.0,,,6.0,,2.0,,,5.0,,2.0,,,5.0,,6.0,,4.0,6.0,,,5.0,53.598378983346414,MacIntel,53.598378983346414
1,hcpibiaokgt8hvwk,202.0,101.0,,6.0,,2.0,7.0,,,5.0,2.0,,2.0,,,5.0,7.0,,,4.0,,7.0,,7.0,,2.0,7.0,,,3.0,4.0,,,1.0,2.0,,,6.0,,6.0,,5.0,4.0,,2.0,,,6.0,4.0,,42.004833366666496,MacIntel,42.004833366666496
2,hcpibiaokgt8ke0c,202.0,101.0,6.0,,5.0,,5.0,,6.0,,,4.0,,2.0,6.0,,,5.0,,5.0,,5.0,6.0,,,1.0,,3.0,5.0,,,6.0,,3.0,,,5.0,,6.0,,2.0,,2.0,,1.0,,2.0,,,7.0,88.15601816667,Linux armv8l,88.15601816667
3,hcpibiaokgt8xhlx,202.0,102.0,2.0,,4.0,,4.0,,7.0,,,2.0,1.0,,,1.0,,5.0,5.0,,,4.0,,1.0,2.0,,5.0,,7.0,,,2.0,3.0,,1.0,,4.0,,5.0,,,3.0,1.0,,,3.0,3.0,,4.0,,21.45458686666668,MacIntel,21.45458686666668
4,hcpibiaokgta36wv,202.0,101.0,6.0,,,4.0,,4.0,,7.0,5.0,,,5.0,,4.0,,7.0,4.0,,7.0,,,5.0,,4.0,,6.0,5.0,,,2.0,,2.0,3.0,,6.0,,6.0,,2.0,,,1.0,,3.0,6.0,,,6.0,47.583,iPhone,47.583
5,hcpibiaokgta8iwr,202.0,101.0,,3.0,4.0,,5.0,,,5.0,2.0,,,1.0,6.0,,,5.0,,2.0,4.0,,,6.0,,2.0,7.0,,,4.0,,4.0,3.0,,,,4.0,,3.0,,,1.0,2.0,,,5.0,,3.0,,2.0,45.92888333333334,iPhone,45.92888333333334
6,hcpibiaokgtb2oxu,202.0,101.0,,6.0,5.0,,6.0,,,6.0,,6.0,,6.0,3.0,,,5.0,5.0,,,4.0,,6.0,,1.0,6.0,,,4.0,6.0,,,2.0,,,6.0,,4.0,,1.0,,4.0,,,3.0,3.0,,,5.0,87.52146666666665,iPhone,87.52146666666665
7,hcpibiaokgtbzcqv,202.0,101.0,4.0,,6.0,,,6.0,,5.0,2.0,,4.0,,,6.0,,7.0,,5.0,6.0,,6.0,,2.0,,,6.0,,5.0,5.0,,4.0,,2.0,,,5.0,5.0,,,7.0,4.0,,5.0,,3.0,,5.0,,32.94773333333333,iPhone,32.94773333333333
8,hcpibiaokgteq6yi,202.0,101.0,,6.0,5.0,,,7.0,7.0,,5.0,,1.0,,5.0,,6.0,,3.0,,,1.0,,7.0,,2.0,,7.0,1.0,,,3.0,6.0,,3.0,,,3.0,4.0,,,2.0,,1.0,,1.0,,5.0,,6.0,18.55668333332291,Linux armv8l,18.55668333332291
9,hcpibiaokgtjd8d1,202.0,101.0,,3.0,5.0,,5.0,,5.0,,,5.0,2.0,,,4.0,,5.0,,4.0,,6.0,4.0,,4.0,,5.0,,4.0,,4.0,,,4.0,,,4.0,,2.0,,,1.0,,4.0,1.0,,,4.0,,7.0,353.62724424998726,Win32,353.62724424998726
10,hcpibiaokgtk7d2k,201.0,101.0,2.0,,6.0,,6.0,,,7.0,5.0,,,7.0,,7.0,4.0,,,4.0,,1.0,6.0,,,6.0,7.0,,1.0,,5.0,,2.0,,5.0,,4.0,,,2.0,4.0,,,4.0,5.0,,6.0,,,7.0,30.403054433334468,Win32,30.403054433334468
11,hcpibiaokgtlclt6,201.0,102.0,5.0,,4.0,,,6.0,6.0,,,3.0,2.0,,,5.0,5.0,,5.0,,7.0,,,2.0,1.0,,4.0,,,2.0,1.0,,,4.0,5.0,,,6.0,,7.0,,1.0,5.0,,,7.0,,6.0,6.0,,16.128383333333336,MacIntel,16.128383333333336
12,hcpibiaokgtld64h,203.0,102.0,5.0,,,4.0,6.0,,,7.0,2.0,,5.0,,5.0,,5.0,,,5.0,,5.0,,5.0,,5.0,6.0,,,3.0,4.0,,3.0,,5.0,,,2.0,3.0,,,3.0,1.0,,,2.0,5.0,,6.0,,42.92,iPhone,42.92
13,hcpibiaokgtllbrw,202.0,101.0,4.0,,,3.0,5.0,,,6.0,2.0,,,1.0,5.0,,4.0,,,3.0,,2.0,6.0,,3.0,,,7.0,3.0,,,4.0,5.0,,4.0,,,5.0,5.0,,4.0,,3.0,,,3.0,5.0,,5.0,,22.902383333333336,MacIntel,22.902383333333336
14,hcpibiaokgtlrjlf,202.0,102.0,5.0,,4.0,,6.0,,6.0,,,3.0,,2.0,,5.0,,4.0,5.0,,7.0,,7.0,,,4.0,5.0,,2.0,,5.0,,,3.0,,,4.0,,2.0,,,5.0,1.0,,1.0,,3.0,,5.0,,53.33576100000407,Win32,53.33576100000407
15,hcpibiaokgtm05sa,202.0,101.0,,6.0,2.0,,4.0,,7.0,,,4.0,1.0,,7.0,,,7.0,4.0,,4.0,,,7.0,,5.0,7.0,,4.0,,,5.0,,6.0,,,,7.0,4.0,,,4.0,,4.0,4.0,,,3.0,,7.0,31.36145136666876,Win32,31.36145136666876
16,hcpibiaokgtmj57r,201.0,101.0,6.0,,4.0,,6.0,,,6.0,,2.0,,6.0,,4.0,,5.0,2.0,,1.0,,,4.0,,3.0,7.0,,6.0,,2.0,,2.0,,,,,6.0,2.0,,,2.0,4.0,,7.0,,5.0,,5.0,,32.380633333333336,iPhone,32.380633333333336
17,hcpibiaokgtrmc4u,202.0,102.0,6.0,,,3.0,,6.0,7.0,,,2.0,6.0,,,7.0,,5.0,,3.0,,7.0,,7.0,,4.0,,6.0,6.0,,,6.0,5.0,,6.0,,5.0,,2.0,,5.0,,,1.0,,2.0,6.0,,,6.0,19.161010333333333,Linux aarch64,19.161010333333333
18,hcpibiaokgumgu00,201.0,101.0,5.0,,,6.0,6.0,,7.0,,,1.0,2.0,,,5.0,,5.0,5.0,,,2.0,6.0,,,5.0,6.0,,,4.0,5.0,,,5.0,,,,6.0,,2.0,2.0,,2.0,,,3.0,2.0,,,7.0,48.88533921663928,Win32,48.88533921663928
19,hcpibiaokgungnt6,201.0,101.0,,3.0,4.0,,5.0,,7.0,,,3.0,,3.0,4.0,,4.0,,4.0,,2.0,,4.0,,4.0,,,7.0,,4.0,5.0,,5.0,,4.0,,,4.0,4.0,,3.0,,,2.0,,2.0,3.0,,,6.0,32.169065116692785,Win32,32.169065116692785
20,hcpibiaokgusfr1x,201.0,102.0,,5.0,,4.0,5.0,,,6.0,,2.0,2.0,,,6.0,6.0,,,5.0,7.0,,7.0,,3.0,,,7.0,,6.0,5.0,,3.0,,,,,5.0,,4.0,,4.0,4.0,,2.0,,4.0,,,5.0,21.952545250016858,Win32,21.952545250016858
21,hcpibiaokguyp8y3,202.0,102.0,,6.0,6.0,,6.0,,7.0,,1.0,,,5.0,7.0,,,7.0,,5.0,4.0,,,7.0,4.0,,,7.0,,6.0,4.0,,7.0,,1.0,,,6.0,,4.0,5.0,,2.0,,,1.0,,3.0,4.0,,47.072318,Linux aarch64,47.072318
22,hcpibiaokgw1344h,202.0,101.0,5.0,,4.0,,5.0,,,6.0,,1.0,,5.0,,4.0,5.0,,4.0,,7.0,,5.0,,1.0,,7.0,,,5.0,4.0,,,4.0,2.0,,4.0,,4.0,,,5.0,,2.0,,1.0,,4.0,3.0,,47.566100000000006,iPhone,47.566100000000006
23,hcpibiaokgwmeyjo,202.0,101.0,,6.0,,7.0,,4.0,7.0,,4.0,,,1.0,6.0,,4.0,,4.0,,,6.0,,4.0,7.0,,,7.0,3.0,,,6.0,,3.0,3.0,,,4.0,5.0,,,3.0,4.0,,2.0,,6.0,,,5.0,9.662412649979665,Win32,9.662412649979665
